Solution,Image Quality,Gender Fitness,Ethnicity Fitness,CPU Energy,GPU Energy,Duration,Round
"{'denoising_steps': 35, 'guidance_scale': 6, 'positive_prompt': [1479, 1748, 240], 'negative_prompt': [13641, 1015, 153], 'weight': 5}",0.856,0.8,0.5,0.0003279184187451,0.0009069568366761,24.852973461151123,round_10
"{'denoising_steps': 42, 'guidance_scale': 12, 'positive_prompt': [928, 1560, 42], 'negative_prompt': [967, 826, 45], 'weight': 0}",0.79583333,1.0,0.8,0.0003988471582531,0.0010984303231884,30.228707909584045,round_7
"{'denoising_steps': 39, 'guidance_scale': 13, 'positive_prompt': [769, 1532, 169], 'negative_prompt': [2028, 714, 229], 'weight': 1}",0.765,1.0,0.7,0.0003700129425359,0.0010233816520379,28.043278336524963,round_9
"{'denoising_steps': 31, 'guidance_scale': 3, 'positive_prompt': [1676, 1581, 52], 'negative_prompt': [6087, 884, 138], 'weight': 4}",0.80375,0.6000000000000001,0.5,0.0002900959992574,0.0008019986971534,21.98639190196991,round_8
"{'denoising_steps': 31, 'guidance_scale': 12, 'positive_prompt': [1614, 136, 239], 'negative_prompt': [16232, 791, 215], 'weight': 2}",0.813,0.0,0.5,0.0002928738277819,0.0008003463347198,22.1969575881958,round_1
"{'denoising_steps': 46, 'guidance_scale': 8, 'positive_prompt': [1009, 859, 44], 'negative_prompt': [15828, 975, 162], 'weight': 2}",0.82,0.6000000000000001,0.8,0.0004306068931188,0.001174652884166,32.63578009605408,round_4
"{'denoising_steps': 37, 'guidance_scale': 13, 'positive_prompt': [1999, 1570, 18], 'negative_prompt': [1580, 970, 36], 'weight': 3}",0.81,0.3999999999999999,0.3,0.0003461237682236,0.0009658595226884,26.23274147510529,round_3
"{'denoising_steps': 48, 'guidance_scale': 15, 'positive_prompt': [1088, 143, 55], 'negative_prompt': [10358, 963, 77], 'weight': 1}",0.80555556,0.6000000000000001,0.6,0.000450915097114,0.0012467105807,34.17495393753052,round_2
"{'denoising_steps': 42, 'guidance_scale': 12, 'positive_prompt': [928, 1560, 42], 'negative_prompt': [967, 826, 45], 'weight': 0}",0.79583333,1.0,0.8,0.0003988471582531,0.0010984303231884,30.228707909584045,round_5
"{'denoising_steps': 42, 'guidance_scale': 12, 'positive_prompt': [928, 1560, 42], 'negative_prompt': [967, 826, 45], 'weight': 0}",0.79583333,1.0,0.8,0.0003988471582531,0.0010984303231884,30.228707909584045,round_0
